"vid","title"
"jichu001","好的"
"jichu002","你好"
"jichu003","再见"
"jichu004","你好吗（1）"
"jichu005","你好吗（2）"
"jichu006","你好吗（3）"
"jichu007","你好，我是露西"
"jichu008","你叫什么名字（1）"
"jichu009","你叫什么名字（2）"
"jichu010","Role Play：打招呼和自我介绍Role Play：打招呼和自我介绍"
"jichu011","早上好"
"jichu012","下午好"
"jichu013","我是男(女)孩"
"jichu014","Role Play：男孩和女孩"
"jichu015","指一指桌子在哪儿"
"jichu016","指一指门在哪儿"
"jichu017","指一指窗户在哪儿"
"jichu018","这是什么颜色（1）"
"jichu019","这是什么颜色（2）"
"jichu020","这是什么，那是什么（1）"
"jichu021","这是什么，那是什么（2）"
"jichu022","这是什么，那是什么（3）"
"jichu023","这是什么，那是什么（4）"
"jichu024","Role Play：这是什么？"
"jichu025","这是一个橡皮"
"jichu026","这是一只猴子吗？"
"jichu027","这是精卫，她是女孩"
"jichu028","Smart先生是医生"
"jichu029","她是老师"
"jichu030","这是我的家人"
"jichu031","Jack是一名警察"
"jichu032","书包在哪儿？"
"jichu033","铅笔在哪儿？"
"jichu034","猫咪在哪儿？"
"jichu035","Role Play：铅笔在哪里？"
"jichu036","猫咪在床下吗？"
"jichu037","铅笔在书下吗？"
"jichu038","书在椅子上"
"jichu039","猴子在树下"
"jichu040","用手指向你的眼睛"
"jichu041","这是我的脸"
"jichu042","这是她的眼睛"
"jichu043","Role Play：摸摸你的脸"
"jichu044","Role Play：指指它的腿"
"jichu045","它们是什么动物（1）"
"jichu046","它们是什么动物（2）"
"jichu047","它的耳朵大"
"jichu048","它们是瘦瘦的猴子"
"jichu049","它们是高高的长颈鹿"
"jichu050","它们是长长的蛇"
"jichu051","你看，猴子可爱吗？"
"jichu052","你看,老虎胖吗？"
"jichu053","Role Play：猜动物"
"jichu054","它们是可爱的小狗"
"jichu055","树上有一只猫"
"jichu056","盒子里有一只球"
"jichu057","树上有两只猴子"
"jichu058","图中有一个男孩"
"jichu059","图中有三只老虎"
"jichu060","图中有五匹白马"
"jichu061","那边有一双鞋"
"jichu062","他有一条绿色的短裤"
"jichu063","椅子上有一只白猫"
"jichu064","盒子里有三只铅笔"
"jichu065","戴上帽子"
"jichu066","喜欢的动物"
"jichu067","喜欢的颜色"
"jichu068","喜欢的运动"
"jichu069","我喜欢足球"
"jichu070","最喜欢的运动（1）"
"jichu071","最喜欢的运动（2）"
"jichu072","我喜欢的运动"
"jichu073","你最喜欢什么动物？"
"jichu074","我们踢足球吧"
"jichu075","我们去游泳吧"
"jichu076","我们去唱歌吧"
"jichu077","我们画老虎吧"
"jichu078","我们去打乒乓球吧"
"jichu079","我们去打篮球吧"
"jichu080","我们跳舞吧"
"jichu081","我们唱歌吧"
"jichu082","我们去动物园吧"
"jichu083","我最喜欢熊猫"
